site	tier	ground_truth	oof	kraken	vote
page-024-R:_548d4a8e-f68a-472c-b336-f2127a3960dc	both	1418a29. ἐπ' ἄρχοντος Ἀθ. Εὐκλέȣς sim μα6. 343b4. 7	1418a29. ἐπ' ἄρχοντος Ἀθ. Εὐκλέȣς sim μα6. 343b4. 7.	1418a29. ἐπ᾽ ἄρχοντος Ἀθ. Εὐκλέȣς sim μα6. 343b4. 7.	
page-024-R:_b98e3150-c390-49d1-9929-47fe8dc1bba9	both	a40. 372. 1540a27. 380. 1541b3. 386. 1542b2. Ἀ. Ὁ-	a40. 372. 1540a27. 380. 1541b3. 386. 1542b2. Ἀ. ρ-	a40. 372. 1540a27. 380. 1541b3. 386. 1542b2. Ἀ. Ο-	
page-025-L:_67e28b32-3781-469a-9f3b-427cedcc0c44	both	οβ 1347a4. Τιμόθεος, Χαβρίας, Πυθοκλῆς, Ἰφικράτης Ἀθ.	οβ 1347a4. Τιμόθεος, Χαβρίας, Πυθοκλῆς, φικράτης Ἄθ.	οβ 1347a4. ΦΤιμόθεος, Χαβρίας, Πυθοκλῆς, Πφικράτης Ἄθ.	
page-025-L:_18a9503c-d6f1-4308-a827-3bc6070983bb	vote	ἀθλητής, opp ἰδιώτης Ηγ11. 1116b13. κληρȣ͂ ντȣς ἀθλητάς	ἀθλητής, opp ἰδιώτης Ηγ11. 1116b13. κληρȣ͂ν τȣς ἀθλητάς	ἀθλητής, opp ἰδιώτης Ηγ11. 1116b13. κληρȣ͂ν τ̀ς ἀθλητάς	ἀθλητής, opp ἰδιώτης Ηγ11. 1116b13. κληρȣ͂ τȣς ἀθλητάς
page-025-L:_638f0337-8c77-43e9-bfcb-4127695d7e7e	both	ληταὶ·ἄχροοι, δύσριγοι, ὑγιεινῶς διακείμενοι πλη5. 967a13.	ληταὶ ἄχροοι, δύσριγοι, ὑγιεινῶς διακείμενοι πλη5. 967a13.	ληταὶ ἄχροοι, δύσριγοι, ὑγιεινῶς διακείμενοι πλη5. 967a13.	
page-025-L:_3f103615-f529-4ae2-bd83-41b6e1978e2c	both	λαμβάνȣσιν Ργ1.1403b22, 1404a17. τοῖς δȣ́λοις ἆθλον προ-	λαμβάνȣσιν Ργ1. 1403b22, 1404a17. τοῖς δȣ́λοις ἆθλον προ-	λαμβάνȣσιν Ργ1. 1403b22, 1404a17. τοῖς δȣ́λοις ἆθλον προ-	
page-025-L:_af9bbc16-dcbd-4697-b2ba-663d6ff733c8	both	b7, 5, 371b1,5. Ζια11. 492b7. τὸν ἀέρα ἀθρȣ͂ν ἀφάλλεσθαι	b7, 5, 371b1, 5. Ζια11. 492b7. τὸν ἀέρα ἀθρȣν ἀφάλλεσθαι	b7, 5, 371b1, 5. Ζια11. 492b7. τὸν ἀέρα ἀθρȣ͂ν ἀφάλλεσθαι	
page-025-R:_99d26157-c465-44ec-83d2-06d04ce7b8d5	both	τος κ4. 394b18. ἔκκρισις ὑγρȣ ἀθρόως (ἀέρος v l) μδ9.	τος κ4. 394b18. ἔκκρισις ὑγρȣ͂ ἀθρόως (ἀέρος v l) μδ9.	τος κ4. 394b18. ἔκκρισις ὑγρȣ ἀθρόως (ἀέρος vl) μδ9.	
page-025-R:_c4c1a857-d3df-431f-9f8a-1d418a0e6420	both	Αἰγεῖδαι, φρατρία Θηβαίων f489. 1557b40, 1558a5, 7.	Αἰγεῖδαι, φρατρία Θηβαίων f 489. 1557b40, 1558a5, 7.	Αἰγεῖδαι, φρατρία Θηβαίων f 489. 1557b40, 1558a5, 7.	
page-026-L:_3c35c07a-b572-4abe-ba16-f56378674382	both	ὁ Α. βασιλεύς οβ 1350b33. Αἰγύπτιον πέλαγος κ3. 393a29.	ὁ Α. βασιλεύς οβ1350b33. Αἰγύπτιον πέλαγος κ3. 393a29.	ὁ Α. βασιλεύς οβ1350b33. Αἰγύπτιον πέλαγος κ3. 393a29.	
page-026-R:_b955cecf-c738-4a03-a986-dfc2beb4c7dc	both	ἧττον περὶ τὰ ἀίδια ἢ τὰ ἐφ’ ἡμῖν Ηγ4. 1111b32. τῶν	ἧττον περὶ τὰ ἀίδια ἢ τὰ ἐφ' ἡμῖν Ηγ4. 1111b32. τῶν	ἧττον περὶ τὰ ἀίδια ἢ τὰ ἐφ' ἡμῖν Ηγ4. 1111b32. τῶν	
page-026-R:_66670bb4-a07c-4307-aedd-a332473688b7	both	τὸ τρίγωνον ἔχει δυσὶν ὀρθαῖς ἀεὶ τὰς γωνίας ἴσας, ἀλλ’	τὸ τρίγωνον ἔχει δυσὶν ὀρθαῖς ἀεὶ τὰς γωνίας ἴσας, ἀλλ	τὸ τρίγωνον ἔχει δυσὶν ὀρθαῖς ἀεὶ τὰς γωνίας ἴσας, ἀλλ'	
page-026-R:_caef636a-3342-444a-8a46-c7e11a01f80f	both	αἰδοῖον. 1. notio. proprie αἰδοῖον usurpatur de membro geni-	αἰδοῖον. 1. ποίῶο. proprie αἰδοῖον usurpatur de membro geni-	αἰδοῖον. 1. notίo. proprie αἰδοῖον usurpatur de membro geni-	
page-027-R:_3380fc3d-6f58-49a5-a2a5-9af848a1c648	both	Αἰθάλεια, νῆσος ἐν τῷ Τυρρηνικῷ πελάγει θ93. 837b26.105.	Αἰθάλεια, νῆσος ἐν τῷ Τυρρηνικῷ πελάγει θ93. 837b26. 105.	Αἰθάλεια, νῆσος ἐν τῷ Τυρρηνικῷ πελάγει θ93. 837b26. 105.	
page-027-R:_deadf037-646a-4e6e-8046-722e88c91e34	both	αἴθρη ἀνέφελος (Hom ζ44) κ6. 400a13.	αἴθρη ἀνέφελος (Hom ζ 44) κ6. 400a13.	αἴθρη ἀνέφελὸς (Hom ζ44) κ6. 400a13.	
page-027-R:_7a21e949-6a70-42f2-bcf7-bd9f4142e915	both	Ζια1. 487a3. Ζμβ2. 647b12. ὑγρὸν ϗ̀ θερμὸν ἀεί, ἔχον τὸν	Ζια1. 487a3. Ζμβ2. 647b12. ὑγρὸν ϗ̀ θερμδν ἀεί, ἔχον τὸν	Ζια1. 487a3. Ζιβ2. 647b12. ὑγρὸν ϗ̀ θερμὸν ἀεί, ἔχον τὸν	
page-028-L:_07fc1dc2-7f4a-49c8-bdf7-7528240b37f4	both	ὑδάτων ἔκρυσις χ5. 796a15, cf Prantl, Arist über d Farben	ὑδάτων ἔκρυσις χ5. 796a15, cf Prantl, Arist uber d Farben	ὑδάτων ἔκρυσις χ5. 796a15, cf Prantl, Arist uber d Farben	
page-028-L:_5cc6dcdc-9262-40e0-b166-66d0529d0266	both	cari ci J B Meyer). ἀναγκαῖον ἢ ἔχειν αἷμα ἢ τὸ τȣ́τῳ τὴν	cari ci  B Meyer). ἀναγκαῖον ἢ ἔχειν αἷμα ἢ τὸ τȣ́τῳ τὴν	cari ci J B Meyer). ἀναγκαῖον ἢ ἔχειν αἷμα ἢ τὸ τȣτῳ τὴν	
page-028-L:_12602f5c-41b4-42a5-b8f6-b92048397492	both	λοθεν (sanguinis circuitus ignotus Aristoteli)· αὕτη γάρ ἐστιν	λοθεν (sanguinis circuitus ignotus Aristoteli). αὕτῃ γάρ ἐστιν	λοθεν (sanguinis circuitus ignotus Aristoteli)· αὕτῃ γάρ ἐστιν	
page-028-R:_8cc753e3-cf31-4a96-a6c3-a7b1f9fb1d10	both	Ζμγ 5. 668a26. β6. 651b20. τῶν μορίων ἕκαστον ἐξ αἵ-	Ζμγ5. 668a26. β6. 651b20. τῶν μορίων ἕκαστον ἐξ αἵ	Ζμγ5. 668a26. β6. 651b20. τῶν μορίων ἕκαστον ἐξ αἵ-	
page-028-R:_2a117991-8b35-4301-8807-549f542919a2	both	πρὸς ἕτερον ϗ̀ τίς αὐτῶν ἡ δύναμις Ζμβ 2. 647b30 sqq.	πρὸς ἔτερον ϗ̀ τίς αὐτῶν ἡ δύναμις Ζμβ2. 647b30 sqq.	πρὸς ἕτερον ϗ̀ τίς αὐτῶν ἡ δύναμις Ζμβ2. 647b30 sqq.	
page-028-R:_f701302c-75ca-4530-a342-fbd3d752082b	both	b24, 27. 6. 515b33. Ζμβ4. 650b14 (cf KFr p272 n12). λέ-	b24, 27. 6. 515b33. Ζμβ4. 650b14 (cf K Fr p 272 n12). λέ-	b24, 27. 6. 515b33. Ζμβ4. 650b14 (cf KFr p272 n 12). λέ-	
page-028-R:_0b0486da-e01e-4f57-ba48-2acdce83d4f2	both	891a13. ὁ πέλλος αἷμα υἷς φασὶν ἀφίησιν ἐκ τῶν ὀφθαλ-	891a13. ὁ πέλλος αἷμα ὡς φασὶν ἀφίησιν ἐκ τῶν ὀφθαλ-	891a13. ὁ πέλλος αἷμα υὡς φασὶν ἀφίησιν ἐκ τῶν ὀφθαλ-	
page-029-L:_2aafccc4-6347-47f5-a369-6c0d2819aeb0	both	τὸ χρῶζον ἡμῶν τὰ σώματα φυσικῶς πλη9. 967b17. ἕλκειν,	τὸ χρῷζον ἡμῶν τὰ σώματα φυσικῶς πλη9. 967b17. ἕλκειν,	τὸ χρῷζον ἡμῶν τὰ σώματα φυσικῶς πλη9. 967b17. ἕλκειν,	
page-029-L:_043b4ecc-956a-4e36-bfaf-1c6d39888ad7	both	Ζγγ11. 762b26. εὐπεψία αἱματικὴ Ζμγ9. 672a4. ἶνες αἱ-	Ζγγ11. 762b26. εὐπεψία αἱματική Ζμγ9. 672a4. ἶνες αἱ-	Ζγγ11. 762b26. εὐπεψία αἱματική Ζμγ9. 672a4. ἶνες αἱ-	
page-029-R:_3a868663-01f3-45b0-9128-27053db6bce5	both	ϗ̀ γὰρ αὕτη αἱμορροΐς ἐστιν, ἀλλ’ ἐκεῖναι μὲν διὰ νόσον, αὕτη	ϗ̀ γὰρ αήτη αἱμορροῖς ἐστιν, ἀλλ ἐκεῖναι μὲν διὰ νόσον, αίτη	ϗ̀ γὰρ αὕτῃ αἱμορροΐξ ἐστιν, ἀλλ' ἐκεῖναι μὲν διὰ νόσον, αὔτη	
page-029-R:_395f7d2e-0b68-4dda-86a9-18cf1ba05b58	both	δὲ φυσικὴ Ζγα20. 728a23. νενοσηκότος αἵματος αἱμορροΐς	δὲ φυσική Ζγα20. 728a23. νενοσηκότος αἵματος αἱμορροῖς	δὲ φυσικὴ Ζγα20. 728a23. νενοσηκότος αἵματος αἱμορροῖς	
page-029-R:_15d81652-e994-40cb-af33-1e023918b885	both	ἥ τ’ ἐν ταῖς ῥισὶ ϗ̀ ἡ περὶ τὴν ἕδραν ϗ̀ ἰξία Ζιγ19. 529a19.	ἥ τ᾽ ἐν ταῖς ῥισὶ ϗ̀ ἡ περὶ τὴν ἕδραν ϗ̀ ἰξία Ζιγ19. 529a19.	ἥ τ᾽ ἐν ταῖς ῥισὶ ϗ̀ ἡ περὶ τὴν ἕδραν ϗ̀ ἰξία Ζιγ19. 529a19.	
page-029-R:_ef440b58-3a34-4c23-abb7-c760acee872d	both	συμβαίνῃ τȣ́των, τὰ καταμήνια χείρω Ζιγ19. 521a29. cf η11.	συμβαίνη τȣ́των. τὰ καταμήνια χείρω Ζιγ19. 521a29. cf η11.	συμβαίνῃ τȣτων, τὰ καταμήνια χείρω Ζιγ19. 521a29. cf η11.	
page-029-R:_10512e7b-46eb-42c9-b46a-9503a737d90b	both	p 317. — a, (anatom et physiol) χρόα, χρόας μεταβολή	p317. — , (anatom et physiol) χρόα, χρόας μεταβολή	p 317. — α, (anatom et physiol) χρόα, χρόας μεταβολή	
page-029-R:_8693160d-c6bd-4bac-9adb-a3db35efcfcd	both	codd ὄρυγγος, κρύγγος), οἷον θρὶξ Ζιι3. 610b29. ἀντὶ ὀνύχων	codd ὄρυγγος, κρύγγος), οἷον θρίξ Ζιι3. 610b29. ἀντὶ ὀνύων	codd ὄρυγγος, κρύγγος), οἷον θρίξ Ζιι3. 610b29. ἀντὶ ὀνύχων	
page-029-R:_db00e90f-d912-4e01-af20-421972241483	both	674b8. Ζιι50. 632b2. χολὴν οἱ πλεῖστοι ἔχȣσιν, ἐνιαχȣ δ’	674b8. Ζιι50. 632b2. χολὴν οἱ πλειστοι ἔχȣσιν, ἐνιαχȣ͂ δ'	674b8. Ζιι50. 632b2. χολὴν οἱ πλεῖστοι ἔχȣσιν, ἐνιαχȣ δ'	
page-029-R:_be43b089-aecc-48f2-a266-c340cc114f30	both	i q τράγος (cf h v) Ζιζ13. 573b30. — b, (biologica) αἶγες	i q τράγος (cf h v) Ζιζ13. 573b30. — b. (biologica) αἶγες	i q τράγος (cf h v) Ζιζ13. 573b30. — b. (biologica) αἶγες	
page-029-R:_46756659-abc8-40f1-9f8d-f9c404f73fea	both	θ10. 596b6. ἔχȣσι κρότωνας. φθεῖρας δ’ ȣ̓́ Ζιε31. 557a16.	θ10. 596b6. ἔχȣσι κρότωνας. φθεῖρας δ' ȣ̓́ Ζιε31. 557a16.	θ10. 596b6. ἔχȣσι κρότωνας. φθεῖρας δ' ȣ̓́ Ζιε31. 557a16.	
page-030-L:_3592047d-deef-432a-b079-14b44acd361f	both	Κρήτῃ· ἐν Λιβύῃ ȣ̓κ ἔστιν αἲξ ἄγριος Ζιι6. 612a3. θ28.606a7.	Κρήτη. ἐν Λιβύη ȣ̓κ ἔστιν αἰξ ἄγριος Ζιι6. 612a3. θ28.606a7.	Κρήτῃ· ἐν Λιβύη ȣ̓κ ἔστιν αἲξ ἄγριος Ζιι6. 612a3. θ28. 606a7.	
page-030-L:_beefefda-8b6e-4342-bcb1-f56636bceaf4	both	εἰ μὴ πάντα δι' ἕτερον αἱρȣ́μεθα, syn δι' αὐτὸ βȣλόμεθα	εἰ μὴ πάντα δι’ ἕτερον αἱρȣ́μεθα, syn δι' αὐτὸ βȣλόμεθα	εἰ μὴ πάντα δι' ἕτερον αἱρȣ́μεθα, syn δι' αὑτὸ βȣλόμεθα	
page-030-R:_ccd3ea0b-5600-4674-9a69-6e8817944eff	both	Ηα1. 1094a20, 19. καθ' αὐτὸ διώκει ϗ̀ αἱρεῖται Ηη10.	Ηα1. 1094a20, 19. καθ᾽ ατὸ διώκει ϗ̀ αἱρεῖται Ηη10.	Μα1. 1094a20, 19. καθ' αὐτὸ διώκει ϗ̀ αἱρεῖται Ηη10.	
page-030-R:_de9ae46f-223b-4cf5-a801-f8eda623c594	both	a35. αἱρετὸν μὲν τὸ ἁπλῶς ἀγαθόν, αὑτῷ δὲ τὸ αὑτῷ (l	a35. αἱρετὸν μὲν τὸ ἀπλῶς ἀγαθόν, αὐτῷ δὲ τὸ αὑτῷ (	a35. αἱρετὸν μὲν τὸ ἁπλῶς ἀγαθόν, αὐτῷ δὲ τὸ αὑτῷ (l	
page-030-R:_0927fc8f-c871-4469-9665-b9930ebad0f3	both	αὑτῷ) ἀγαθόν ηεη2. 1237a1. αἱρεταὶ καθ' αὑτὰς σοφία ϗ̀	αὐτῷ) ἀγαθόν ηεη2. 1237a1. αἱρεταὶ καθ'’ αὐτὰς σοφία ϗ̀	αὐτῷ) ἀγαθόν ηεη2. 1237a1. αἱρεταὶ καθ' αὑτὰς σοφία ϗ̀	
page-030-R:_4e64ce13-c991-4d1d-94f2-87f8ceec6f94	both	falconum species St Su p 100 n 13 AΖι I 93).	falconum species St Su p 100 n 13 AZι I 93).	falconum species St Su p 100 n 13 AZι I 93).	
page-031-L:_d96b1475-9503-4c9a-9d7a-5006bcc35656	both	ζῷα διὰ τὸν ἐγκέφαλον ζ3. 469a22. Ζγε3. 783b31. τὸ	ζῶα διὰ τὸν ἐγκέφαλον ζ3. 469a22. Ζγε3. 783b31. τὸ	ζῶα διὰ τὸν ἐγκέφαλον ζ3. 469a22. Ζγε3. 783b31. τὸ	
page-031-R:_eaee22de-e0a6-449c-b673-4f81e758c7ec	both	τȣ͂ ἐν τῇ ἐνεργείᾳ αἰσθήματος εν3. 461b22. τὰ φαντά-	τȣ͂ ἐν τῇ ἐνεργείᾳ αἰσθήματος εν 3. 461b22. τὰ φαντά-	τȣ ἐν τῇ ἐνεργείᾳ αἰσθήματος εν3. 461b22. τὰ φαντά-	
page-032-L:_1f60f901-6275-481e-9d44-f87927d6e9f3	both	ἐνεργȣ́σης Ηκ4. 1174b14. ȣ̓ μόνον πάσχει αλλα ϗ̀ ἀντι-	ἐνεργȣ́σης Ηκ4. 1174b14. ȣ̓ μόνον πασχει αλλα ϗ̀ ἀντι-	ἐνεργȣσης Ηκ4. 1174b14. ȣ̓ μόνον πάσχει αλλα ϗ̀ ἀντι-	
page-032-L:_62a5fe6f-56ca-49fb-a3da-e3b484f0056e	both	πᾶσι τοῖς ζῴοις ὑπάρχει κοινὴ ἡ ἀναγκαιοτάτη αἴσθησις, ἁφή	πᾶσι τοῖς ζῴοις ὑπάρχει κοινὴ ἡ ἀναγκαιοτάτῃ αἴσθησις, ἀφή	πᾶσι τοῖς ζῴοις ὑπάρχει κοινὴ ἡ ἀναγκαιοτάτῃ αἴσθησις, ἁφή	
page-033-L:_bee91e05-8182-4843-92dd-4fd356b41be5	both	(αἰσθήσει cod Aᶜ, Vhl II, ἐσθῆτι Bk).	(αἰσθήσει cod Αc, Vhl l 1, ἐσθῆτι Bk).	(αἰσθήσει cod Ao, Vhl1I, ἐσθῆτι Bk).	
page-034-L:_7be00b02-39fb-4a2d-bb94-8a4245e205ff	both	— περὶ καλȣ͂ ϗ̀ αἰσχρȣ͂ Ρα9. αἰσχρὰ κατ’ ἀλήθειαν, κατὰ	— περὶ καλȣ͂ ϗ̀ αἰσχρȣ͂ Ρα9. αἰσχρὰ κατ᾽ ἀλήθειαν, κατὰ	— περὶ καλȣ͂ ϗ̀ αἰσχρȣ͂ Ρα9. αἰσχρὰ κατ' ἀλήθειαν, κατὰ	
page-034-L:_0fb34111-d0c7-420a-bd6f-698632a390e8	both	νονται ϗ̀ πρὸς ποίȣς ϗ̀ πῶς ἔχοντες Ρβ6. ȣ̓δεὶς ταὐτὰ τȣς	νονται ϗ̀ πρὸς ποίȣς ϗ̀ πῶς ἔχοντες Ρβ6. ȣ̓δεὶς ταὐτὰ τȣ̀ς	νονται ϗ̀ πρὸς ποίȣς ϗ̀ πῶς ἔχοντες Ρβ6. ȣ̓δεὶς ταὐτὰ τȣ̀ς	
page-034-L:_836a6eee-6f3b-443b-859d-dc746832dedf	both	Αἰσώπȣ μῦθοι μβ3. 356b11. ὁ Αἰσώπȣ Μῶμος (cf fab 155	Αἰσώπȣ μῦθοι μβ3. 356b11. ὁ Αἰσώίπȣ Μμος (cf fab155	Αἰσώπȣ μῦθοι μβ3. 356b11. ὁ Αἰσώπȣ Μῶμος (cf fab155	
page-034-R:_a9ca5392-4754-40cf-a2cd-4cb0ad43edf8	both	αἰτία, τὸ αἴτιον. a. αἴτια, dist σημεῖα, συμπτώματα μτ1.	ἰτία, τὸ αἴτιον. α. αἴτια, dist σημεῖα, συμπτώματα μτ1.	αἰτία, τὸ αἴτιον. α. αἴτια, dist σημεῖα, συμπτώματα μτ1.	
page-034-R:_b5bddb81-da32-45f3-a5ac-31bf7dc6d44a	both	δȣ͂ναι τὴν αἰτίαν Ζγε1. 779b21. ȣ̓ μικρὸν ἔργον τὸ ἀπ'	δȣ͂ναι τὴν αἰτίαν Ζγε1. 779b21. ȣ̓ μικρὸν ἔργον τὸ ἀπ᾽	δȣ͂ναι τὴν αἰτίαν Ζγε1. 779b21. ȣ̓ μικρὸν ἔργον τὸ ἀπ᾽	
page-034-R:_1f66d7ba-0e45-4157-9d3c-e7e9a6b5b5d5	both	ἔστι, τὸ τί ἦν εἶναι, ἡ ȣ̓σία ϗ̀ τὸ τί ἦν εἶναι, ὁ λόγος ὁ τȣ͂ τί ἦν	ἐστι, τὸ τί ἦν εἶναι, ἡ ȣ̓σία ϗ̀ τὸ τί ἦν εἶναι, ὁ λόγος ὁ τȣ͂ τί ἦν	ἐστι, τὸ τί ἦν εἶναι, ἡ ȣ̓σία ϗ̀ τὸ τί ἦν εἶναι, ὁ λόγος ὁ τȣ͂ τί ἦν	
page-034-R:_d563ad25-2160-4e9d-9fea-fac3c0059e06	both	ἐν αὐτῷ, ἐντός, opp ἔξω, ἐκτός Φβ5. 197a2: 6. 197b36.	ἐν αὐτῷ, ἐντός, opp ἔξω, ἐκτός Φβ5. 197a2. 6. 197b36.	ἐν αὐτῷ, ἐντός, opp ἔξω, ἐκτός Φβ5. 197a2. 6. 197b36.	
page-035-L:_53fcf14d-5313-4d9b-ab16-e7d8f971e8d5	both	αἰτιατέον τὴν τῶν ἀεὶ κινȣμένων δύναμιν μα2. 339a32.	ἀἰτατέον τῆν τῶν ἀεὶ κινȣμένων δῦύναμιν μα2. 339a32.	αἰτίατέον τὴν τῶν ἀεὶ κινȣμένων δύναμιν μα2. 339a32.	
page-035-L:_7734a219-a234-4af3-ae91-7d68da5ace2e	both	ȣ̔ αἴτιον τὸ αἴτιον Φβ3. 195b7. Μδ2. 1014a10). αἰτιατὸν ϗ̀	ȣ̔͂ αἴτιον τὸ αἴτιον Φβ3. 195b7. Μδ2. 1014a10). αἰτιατὸν ϗ̀	ȣ̔͂ αἴτιον τὸ αἴτιον Φβ3. 195b7. Μδ2. 1014a10). αἰτιατὸν ϗ̀	
page-035-R:_6103d1f2-2a33-4107-bef7-ae2fbab97332	both	τὸ τὸν πάντα χρόνον ϗ̀ τὴν ἀπειρίαν. περιέχον τέλος αἰὼν	τὸ τὸν πάντα χρόνον ϗ̀ τὴν ἀπειρίαν περιέχον τέλος αἰών	τὸ τὸν πάντα χρόνον ϗ̀ τὴν ἀπειρίαν περιέχον τέλος αἰὼν	
page-035-R:_c6afe103-f475-47f8-a1e5-f2ea2d13fdd3	both	ἀκαλήφη. καλȣ͂σιν οἱ μὲν κνίδας οἱ δ' ἀκαλήφας Ζμδ5. 681	ἀκαλθφὴ καλȣσν οἱ μὲν κνίδας οἱδ᾽ ἀκαλήφας Ζμδ5. 6a1	ἀκαλήφη. καλȣ͂σν οἱ μὲν κνίδας οἱ δ’ ἀκαλήφας Ζμδ5. 681	
page-035-R:_52f14cdc-f32d-4c9a-ac8c-8b8e2ab10983	both	ἄκανθα. 1. μόριον τȣ͂ τῶν ζῴων σώματος. a. (vocabuli usus)	ἄκανθα. 1. μόριον τȣ͂ τῶν ζῴων σώματος. o. (vocabuli usus)	ἄκανθα. 1. μόριον τȣ͂ τῶν ζῴων σώματος. α. (vocabuli usus)	
page-036-L:_73d23758-1822-4e3c-b975-51bb4b1b4111	both	a15, 18 (spinax Gazae C S, squalus acanthias Ζιζ10 et raja	a15, 18 (spinax Gazae C S, squalus acanthias Ζιζ10 et raia	a15, 18 (spinax Gazae C S, squalus acanthias Ζιζ10 et raa	
page-036-L:_22ff0665-b253-4725-9926-3840dbcf5a6d	both	ἀκανθίς, avis. ἀκανθοφάγος, ἐπὶ ἀκανθῶν νέμεται, τίσι ζῴοις	ἀκανοις, aks. ἀκνθοφάγος, ἐπὶ ἀκανθῶν νέμεται, τίοι ζῴι	ἀκανθίς, aνis. ἀκανθοφάγος, ἐπὶ ἀκανθῶν νέμεται, τίσι ζῴοις	
page-036-L:_bafe2e4a-78b9-46e1-b6c6-ad6141fe64cf	both	χρόαν f 253. 1524b39 (Acacia vera W. cf Landsberg in Ja-	χροανf 253. 1524b39 (Acacia vera W. cf Iandsberg in a-	χρόαν f 253. 1524b39 (Acacia vera W. cf Dandsberg in Ja-	
page-036-L:_8c32c764-9980-492c-9f8e-47a335ed0d56	both	616a5 (serin C, parorum species, fort parus pendulinus sive	616a5 (serin C, arorum species, fort parus pendulinus sive	616a5 (serin C, parorum specie3, fort parus pendulinus sive	
page-036-R:_fe3ae3d7-9344-4206-850d-9d937a20643c	both	ἢ Φε4. 228b3. ᾧ ἡ κίνησις ὑπάρχει, τȣ́τῳ ἡ ἀκινησία ἠρε-	ᾖ Φε4. 228b3. ᾠ ἡ κίνησις ὑπάρχει, τȣ́τῳ ἡ ἀκινησία ἠρε-	ἢ Φε4. 228b3. ᾧ ἡ κίνησις ὑπάρχει, τȣτῳ ἡ ἀκινησία ἠρε-	
page-037-R:_5811f8a7-bec4-44e0-95ca-b43a2a7cedbf	both	ἡ ἀκοὴ λόγος τις, διὰ τȣ͂το φθείρει ἔκαστον ὑπερβάλλον τὴν	ἡ ἀκοὴ λόγος τις, διὰ τȣτο φθείρει ἕκαστον ὑπερβάλλον τὴν	ἡ ἀκοὴ λόγος τις, διὰ τȣ͂το φθείρει ἕκαστον ὑπερβάλλον τὴν	
page-037-R:_265d3e27-4bc0-47c2-82c2-cbff9c493727	both	αὐτήν, πρὸς δὲ νῦν ϗ̀ κατὰ συμβεβηκὸς ἡ ἀκοὴ πλεῖστον	αὐτήν, πρὸς δὲ νȣ͂ν ϗ̀ κατὰ συμβεβηκὸς ἡ ἀκοὴ πλεῖστον	αὑτήν, πρὸς δὲ νῦν ϗ̀ κατὰ συμβεβηκὸς ἡ ἀκοὴ πλεῖστον	
page-037-R:_9b0ad1c2-1883-4758-a4a6-f05de11be999	both	εἰς τὰς ἀκολασίας Ηδ1. 1119b31. 3. 1121b9.	εk τὰς ἀκαλαίας Ζ1 b19b31. 3. 1121b9	εἰς τὰς ἀκολασίας Ηδ1. 1119b31.9. 1121b9.	
page-038-L:_cffa569e-207b-433e-8d02-b269ec3b264c	both	ἀκολȣθεῖν. μετὰ τὰς συνδέσμȣς, ȣ̔ς ἂν προείπῃς, ἀποδίδȣ τὰς	ἀκολȣθεῖν. μετὰ τȣ̀ς συνδέσμȣς, ȣ̓̀ς ἂν προείπης, ἀποδίδȣ τȣς	ἀκολȣθεῖν. μετὰ τȣ̀ς συνδέσμȣς, ȣ̓ς ἂν προείπης, ἀποδίδȣ τȣ̀ς	
page-038-L:_2e3a0d83-869c-4942-91c0-6dde76b7d748	both	ὁρμῇ τῆς ἀρχῆς μβ8. 366a7. cf γ1. 370b14. οἱ νέοι οἷοί	ὁρμῇ τῆς ἀρχῆς μβ8. 366a7. cf γ1. 370b14. οἱ νέοι οἷοι	ὁρμῇ τῆς ἀρχῆς μβ8. 366a7. cf γ1. 370b14. οἱ νέοι οἷοι	
page-038-L:_93b699dd-0e13-401e-94c9-d3bd32608e27	both	οἰόμεθα ἀκολȣθεῖν Ηζ12. 1143b8. ἡ ἐποποιία τῇ τραγῳδίᾳ	οἰόμεθα ἀκολȣθεῖν Ηζ12. 1143b8. ἡ ἐποποιία τῇ τραγωδίᾳα	οἰόμεθα ἀκολȣθεῖν Ηζ12. 1143b8. ἡ ἐποποιία τῇ τραγωδίᾳ	
page-038-L:_61d04574-3a38-4c42-80d7-e52485efe4a2	both	γένεσις ἀκολȣθεῖ ϗ̀ ταύτης ἕνεκά ἐστιν, ȣ̓χ αὐτὴ τῇ γενέσει	γένεσις ἀκολȣθεῖ ϗ̀ ταύτης ἕνεκά ἐστιν, ȣ̓χ αὕτη τῇ γενέσει	γένεσις ἀκολȣθεῖ ϗ̀ ταύτης ἕνεκά ἐστιν, ȣ̓χ αὕτῃ τῇ γενέσει	
page-038-L:_f0f130a7-7e18-40fd-bcc8-a86da769f770	both	γέθει ἡ κίνησις· διὰ γὰρ τὸ τὸ μέγεθος εἶναι συνεχὲς ϗ̀ ἡ	γέθει ἡ κίνησις· διὰ γὰρ τὸ τὸ μέγεθος εἶναι συνεχὲς ϗ̀	γέθει ἡ κίνησις· διὰ γὰρ τὸ τὸ μέγεθος εἶναι συνεχὲς ϗ̀	
page-038-L:_775f6869-8f04-420a-83b3-a6e3eb8a8aa2	both	τȣ́τοις (τῷ φαύλῳ ϗ̀ τῷ σπȣδαίῳ) ἀκολȣθεῖ μόνοις· κακία	τȣ́τοις (τῷ φαύλῳ ϗ̀ τῷ σπȣδαί) ἀκολȣθεῖ μόνοις· κακίᾳ	τȣτοις (τῷ φαύλῳ ϗ̀ τῷ σπȣδαίῳ) ἀκολȣθεῖ μόνοις· κακία	
